"long","lat","amon"
-95.25,6.6409622254,2
-94.75,-5.8590377746,2
-88.75,2.6409622254,2
-91.75,-8.3590377746,2
-99.25,14.6409622254,2
-79.75,1.6409622254,2
-97.25,-0.859037774599997,2
-86.75,-9.8590377746,2
-84.25,-4.3590377746,2
-90.75,-9.3590377746,2
-82.25,-1.3590377746,2
-90.25,10.6409622254,2
-92.75,12.1409622254,2
-90.75,9.6409622254,2
-91.75,-4.8590377746,3
-83.25,6.1409622254,3
-86.75,7.6409622254,3
-97.75,12.1409622254,3
-92.75,0.140962225400003,3
-90.75,3.1409622254,3
-90.75,8.6409622254,3
-85.25,7.6409622254,3
-85.25,5.1409622254,3
-95.25,13.6409622254,3
-94.75,-9.3590377746,3
-99.75,-9.8590377746,3
-77.75,6.6409622254,3
-89.25,7.6409622254,3
-97.75,0.640962225400003,3
-93.25,13.1409622254,3
-98.75,11.1409622254,3
-97.25,-2.8590377746,3
-93.75,14.1409622254,3
-80.75,0.640962225400003,3
-81.75,0.640962225400003,3
-90.75,-7.8590377746,3
-89.75,-0.859037774599997,3
-87.25,-7.3590377746,3
-93.75,5.6409622254,3
-93.25,0.640962225400003,3
-91.25,10.1409622254,3
-84.75,-7.8590377746,3
-99.25,-4.3590377746,3
-93.25,1.1409622254,3
-81.75,-1.3590377746,3
-83.25,8.1409622254,3
-85.25,8.6409622254,3
-98.75,-0.359037774599997,3
-92.25,-9.8590377746,3
-98.25,10.1409622254,3
-92.25,-1.3590377746,3
-95.25,0.640962225400003,3
-99.25,2.1409622254,3
-92.75,14.6409622254,3
-86.75,3.1409622254,3
-86.25,6.6409622254,3
-93.25,-0.859037774599997,3
-84.75,-1.8590377746,3
-94.75,15.1409622254,3
-83.75,-6.8590377746,3
-92.25,-6.3590377746,3
-83.25,-6.3590377746,3
-92.25,9.1409622254,3
-92.25,0.140962225400003,3
-86.75,-7.8590377746,3
-99.25,12.6409622254,3
-86.25,-6.8590377746,3
-88.25,-0.859037774599997,3
-95.25,15.6409622254,3
-80.25,-9.8590377746,3
-96.75,-6.8590377746,3
-90.75,1.6409622254,3
-81.75,-7.8590377746,3
-89.75,9.1409622254,3
-94.75,1.6409622254,3
-92.75,-0.359037774599997,3
-97.25,-9.8590377746,3
-93.75,-0.359037774599997,3
-90.25,10.1409622254,3
-93.75,8.1409622254,3
-99.25,4.1409622254,3
-85.75,4.1409622254,3
-83.25,6.6409622254,3
-96.75,2.6409622254,3
-99.75,3.6409622254,3
-97.25,6.6409622254,3
-94.25,-1.3590377746,4
-96.75,-5.8590377746,4
-89.25,-0.359037774599997,4
-92.75,1.1409622254,4
